,error_status,error_individual_e,error_individual_n,error_cumulative_e,error_cumulative_n,error_absolute_cumulative_e,error_absolute_cumulative_n
0,8.98885039256e-312,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.03656448623385078,0.03572059243604997,0.03656448623385078,0.03572059243604997,0.03656448623385078,0.03572059243604997
2,1.0,0.009007602362840483,0.0006276813729870767,0.04557208859669126,0.036348273809037046,0.04557208859669126,0.036348273809037046
3,1.0,-0.00043624664659835943,0.021246232432012402,0.0451358419500929,0.05759450624104945,0.04600833524328962,0.05759450624104945
4,1.0,0.017962762504980745,-0.002483210301201133,0.06309860445507365,0.055111295939848315,0.06397109774827037,0.06007771654225058
5,1.0,0.0031453604440914162,-0.0012930739004346492,0.06624396489916506,0.053818222039413666,0.06711645819236178,0.06137079044268523
6,1.0,0.020007620795782444,0.018165453703565593,0.08625158569494751,0.07198367574297926,0.08712407898814423,0.07953624414625082
7,1.0,-0.005999559668019572,-0.0038085104390899183,0.08025202602692794,0.06817516530388934,0.0931236386561638,0.08334475458534074
8,1.0,0.1917493989828145,0.0003662370527841574,0.27200142500974245,0.0685414023566735,0.2848730376389783,0.0837109916381249
9,1.0,0.0044547566927342075,0.005209781279489345,0.27645618170247666,0.07375118363616284,0.2893277943317125,0.08892077291761424
10,1.0,0.006777149669709104,0.004684287630193573,0.28323333137218576,0.07843547126635642,0.2961049440014216,0.09360506054780782
11,1.0,0.19578484456472012,0.0010545522080080971,0.4790181759369059,0.07949002347436451,0.49188978856614174,0.09465961275581591
12,1.0,0.013066578608700752,0.011346900759425793,0.49208475454560663,0.0908369242337903,0.5049563671748425,0.10600651351524171
13,1.0,0.022662598088331265,-0.0015197452182214022,0.5147473526339379,0.0893171790155689,0.5276189652631738,0.10752625873346311
14,1.0,0.005823416816356897,0.007006910662378019,0.5205707694502948,0.09632408967794692,0.5334423820795307,0.11453316939584113
15,1.0,0.019932210336754963,-0.003954467990305854,0.5405029797870498,0.09236962168764107,0.5533745924162856,0.11848763738614698
16,1.0,0.02637270570595618,0.009908983063541044,0.5668756854930059,0.10227860475118211,0.5797472981222418,0.12839662044968803
17,1.0,0.01507524892038603,0.01821443940937817,0.581950934413392,0.12049304416056028,0.5948225470426278,0.1466110598590662
18,1.0,0.017965331925740458,0.020141889236114707,0.5999162663391324,0.140634933396675,0.6127878789683683,0.1667529490951809
19,1.0,0.01625633275728333,-0.0008345945069039296,0.6161725990964158,0.13980033888977106,0.6290442117256516,0.16758754360208483
20,1.0,-0.007336809023637869,0.01390709286647418,0.6088357900727779,0.15370743175624524,0.6363810207492895,0.181494636468559
21,1.0,0.010611352337491553,0.014853499299049666,0.6194471424102694,0.1685609310552949,0.646992373086781,0.19634813576760868
22,1.0,0.01852603769714989,0.01396542724321792,0.6379731801074193,0.18252635829851283,0.6655184107839309,0.2103135630108266
23,1.0,0.00877136237956222,0.0022118700908619893,0.6467445424869815,0.18473822838937481,0.6742897731634931,0.2125254331016886
24,1.0,0.02037894292862319,0.01639012582338495,0.6671234854156047,0.20112835421275976,0.6946687160921163,0.22891555892507354
25,1.0,0.008599299281488726,0.006290643907505444,0.6757227846970935,0.2074189981202652,0.7032680153736051,0.23520620283257898
26,1.0,0.01803903273517804,0.01203727711585234,0.6937618174322715,0.21945627523611755,0.7213070481087831,0.24724347994843132
27,1.0,0.0008128217422296302,-0.003804466507500326,0.6945746391745011,0.21565180872861722,0.7221198698510127,0.25104794645593165
28,1.0,-0.0035580800072096963,0.006327449523815254,0.6910165591672914,0.22197925825243248,0.7256779498582224,0.2573753959797469
29,1.0,0.004706022702919199,-0.004650725861193639,0.6957225818702106,0.21732853239123884,0.7303839725611416,0.26202612184094054
30,1.0,0.004240815896242367,0.031505621405302886,0.699963397766453,0.24883415379654172,0.734624788457384,0.2935317432462434
31,1.0,0.00986610959991907,-0.0030538578296663843,0.7098295073663721,0.24578029596687534,0.7444908980573031,0.2965856010759098
32,1.0,0.018132356807001315,0.0074667751652701675,0.7279618641733734,0.2532470711321455,0.7626232548643044,0.30405237624118
33,1.0,0.015441530305579931,0.006290497040006837,0.7434033944789533,0.25953756817215234,0.7780647851698843,0.3103428732811868
34,1.0,-0.007400331249613146,-0.01248690388794893,0.7360030632293402,0.24705066428420341,0.7854651164194975,0.32282977716913575
35,1.0,0.016864407077676447,-0.0033731553545397475,0.7528674703070166,0.24367750892966367,0.8023295234971739,0.3262029325236755
36,1.0,0.007959078384146778,0.015437675782384197,0.7608265486911634,0.25911518471204786,0.8102886018813207,0.3416406083060597
37,1.0,0.01763334758951629,0.016818918589041942,0.7784598962806797,0.2759341033010898,0.827921949470837,0.35845952689510163
38,1.0,0.004599896209640519,0.004024673917613519,0.7830597924903202,0.2799587772187033,0.8325218456804775,0.36248420081271515
39,1.0,0.025209502226267944,0.018129870612888954,0.8082692947165881,0.2980886478315923,0.8577313479067454,0.3806140714256041
40,1.0,0.0087700848536727,0.006171700180867656,0.8170393795702608,0.30426034801245994,0.8665014327604181,0.38678577160647176
41,1.0,0.22268908998298542,0.02360108910681591,1.0397284695532463,0.32786143711927584,1.0891905227434036,0.41038686071328767
42,1.0,0.023161305265695376,-0.0019717597325619174,1.0628897748189416,0.3258896773867139,1.112351828009099,0.4123586204458496
43,1.0,0.019754495731127975,-0.0030419926061600044,1.0826442705500696,0.3228476847805539,1.132106323740227,0.4154006130520096
44,1.0,0.020426866628447726,0.015811891570173486,1.1030711371785173,0.3386595763507274,1.1525331903686746,0.4312125046221831
45,1.0,0.01040047473504302,0.020754747181389366,1.1134716119135604,0.3594143235321168,1.1629336651037177,0.45196725180357245
46,1.0,0.030524746570272043,0.0193162206355999,1.1439963584838324,0.3787305441677167,1.1934584116739897,0.47128347243917235
47,1.0,0.00496275690628778,0.01729548499521938,1.1489591153901202,0.39602602916293606,1.1984211685802775,0.4885789574343917
48,1.0,0.006787942794730384,0.008576152914860469,1.1557470581848506,0.4046021820777965,1.2052091113750079,0.4971551103492522
49,1.0,0.0211715930868408,0.011748979693545714,1.1769186512716914,0.41635116177134224,1.2263807044618487,0.5089040900427979
50,1.0,0.006081605782100041,0.022654674053477653,1.1830002570537914,0.4390058358248199,1.2324623102439487,0.5315587640962756
51,1.0,0.013669987519904225,0.010393484400645914,1.1966702445736956,0.4493993202254658,1.246132297763853,0.5419522484969215
52,1.0,0.0218976916307696,0.017446138144992407,1.2185679362044652,0.4668454583704582,1.2680299893946225,0.5593983866419139
53,1.0,0.022355164926580073,0.00576972661291375,1.2409231011310453,0.47261518498337196,1.2903851543212026,0.5651681132548276
54,1.0,0.013554452279571194,0.006515868401711256,1.2544775534106165,0.4791310533850832,1.3039396066007738,0.5716839816565389
55,1.0,0.010004263693346616,0.011735448617903987,1.2644818171039631,0.4908665020029872,1.3139438702941204,0.5834194302744429
56,1.0,0.02379125680126748,0.004767331231847027,1.2882730739052306,0.49563383323483423,1.3377351270953879,0.5881867615062899
57,1.0,0.030020457252874166,0.01862717560868088,1.3182935311581048,0.5142610088435151,1.367755584348262,0.6068139371149708
58,1.0,-0.005348438852045945,0.010089817925606592,1.3129450923060588,0.5243508267691217,1.373104023200308,0.6169037550405774
59,1.0,0.004159601093853382,0.010413423191380833,1.3171046933999122,0.5347642499605025,1.3772636242941614,0.6273171782319582
60,1.0,0.00972858341142313,0.017168811772364734,1.3268332768113353,0.5519330617328673,1.3869922077055845,0.6444859900043229
61,1.0,0.0041020643476912255,0.020970770826310936,1.3309353411590266,0.5729038325591782,1.3910942720532757,0.6654567608306339
62,1.0,0.01743816661856812,0.0028422628794855243,1.3483735077775947,0.5757460954386637,1.4085324386718439,0.6682990237101194
63,1.0,0.008420846811659999,0.01118453214005255,1.3567943545892547,0.5869306275787163,1.4169532854835039,0.679483555850172
64,1.0,0.01630772101209743,-0.005756829520692008,1.3731020756013521,0.5811737980580243,1.4332610064956013,0.685240385370864
65,1.0,-0.0025089480941886677,-0.0009904658074533224,1.3705931275071634,0.580183332250571,1.43576995458979,0.6862308511783173
66,1.0,-6.107708544789148e-05,-0.0060452559038255416,1.3705320504217156,0.5741380763467454,1.4358310316752378,0.6922761070821428
67,1.0,0.006359508369101263,0.014262512460174737,1.3768915587908168,0.5884005888069201,1.442190540044339,0.7065386195423176
68,1.0,0.004241940119328547,-0.009780116325365018,1.3811334989101454,0.5786204724815551,1.4464324801636677,0.7163187358676826
69,1.0,0.024025542747864392,0.015879053330024817,1.4051590416580098,0.5944995258115799,1.470458022911532,0.7321977891977074
70,1.0,0.02918344599761724,0.029180380419135954,1.434342487655627,0.6236799062307159,1.4996414689091493,0.7613781696168433
