,True_E,True_N,True_E_std,True_N_std,Real_E,Real_N,Real_E_std,Real_N_std,Jump_Status,Jump_Individual_E,Jump_Individual_N,Jump_Cumulative_E,Jump_Cumulative_N,Jump_Absolute_Cumulative_E,Jump_Absolute_Cumulative_N,Drift_Status,Drift_Individual_E,Drift_Individual_N,Drift_Cumulative_E,Drift_Cumulative_N,Drift_Absolute_Cumulative_E,Drift_Absolute_Cumulative_N,Error_Status,Error_Individual_E,Error_Individual_N,Error_Cumulative_E,Error_Cumulative_N,Error_Absolute_Cumulative_E,Error_Absolute_Cumulative_N
10,6.5,3.75,0.01,0.01,6.56270154766092,3.7789035981358174,0.01,0.01,False,0,0,0,0,0,0,True,0.003869922545133404,0.013464883824915928,0.06270154766092072,0.02890359813581759,0.08549738007852693,0.05808479037181105,True,0.013464883824915928,0.013464883824915928,0.02890359813581759,0.02890359813581759,0.08549738007852693,0.05808479037181105
11,5.5,3.75,0.01,0.01,5.582739667629135,3.7958336129342953,0.01,0.01,False,0,0,0,0,0,0,True,0.02003811996821494,0.01693001479847807,0.08273966762913565,0.04583361293429566,0.10553550004674186,0.07501480517028912,True,0.01693001479847807,0.01693001479847807,0.04583361293429566,0.04583361293429566,0.10553550004674186,0.07501480517028912
12,4.5,3.75,0.01,0.01,4.600092875577075,3.8048398745314964,0.01,0.01,False,0,0,0,0,0,0,True,0.017353207947939816,0.00900626159720089,0.10009287557707547,0.054839874531496545,0.12288870799468168,0.08402106676749001,True,0.00900626159720089,0.00900626159720089,0.054839874531496545,0.054839874531496545,0.12288870799468168,0.08402106676749001
13,3.5,3.75,0.01,0.01,3.590068302106412,3.813060986741501,0.01,0.01,False,0,0,0,0,0,0,True,-0.01002457347066303,0.008221112210004633,0.09006830210641244,0.06306098674150118,0.1329132814653447,0.09224217897749463,True,0.008221112210004633,0.008221112210004633,0.06306098674150118,0.06306098674150118,0.1329132814653447,0.09224217897749463
14,2.5,3.75,0.01,0.01,2.6025013218652497,3.8408354646371223,0.01,0.01,False,0,0,0,0,0,0,True,0.012433019758837937,0.02777447789562114,0.10250132186525038,0.09083546463712232,0.14534630122418263,0.12001665687311577,True,0.02777447789562114,0.02777447789562114,0.09083546463712232,0.09083546463712232,0.14534630122418263,0.12001665687311577
15,1.5,3.75,0.01,0.01,1.616495634009489,3.870815414441755,0.01,0.01,False,0,0,0,0,0,0,True,0.013994312144239157,0.02997994980463263,0.11649563400948953,0.12081541444175495,0.15934061336842179,0.1499966066777484,True,0.02997994980463263,0.02997994980463263,0.12081541444175495,0.12081541444175495,0.15934061336842179,0.1499966066777484
16,1.5,5.25,0.01,0.01,1.6164956340094896,5.370815414441755,0.01,0.01,False,0,0,0,0,0,0,True,0.0,0.0,0.11649563400948953,0.12081541444175495,0.15934061336842179,0.1499966066777484,True,0.0,0.0,0.12081541444175495,0.12081541444175495,0.15934061336842179,0.1499966066777484
17,2.5,5.25,0.01,0.01,2.630536559388202,5.376708216818747,0.01,0.01,False,0,0,0,0,0,0,True,0.014040925378712392,0.005892802376991555,0.13053655938820194,0.1267082168187465,0.1733815387471342,0.15588940905473994,True,0.005892802376991555,0.005892802376991555,0.1267082168187465,0.1267082168187465,0.1733815387471342,0.15588940905473994
18,3.5,5.25,0.01,0.01,3.6417734508577317,5.402503721475725,0.01,0.01,False,0,0,0,0,0,0,True,0.011236891469529477,0.02579550465697833,0.1417734508577314,0.15250372147572483,0.18461843021666366,0.18168491371171827,True,0.02579550465697833,0.02579550465697833,0.15250372147572483,0.15250372147572483,0.18461843021666366,0.18168491371171827
19,4.5,5.25,0.01,0.01,4.655567902688027,5.430983112834799,0.01,0.01,False,0,0,0,0,0,0,True,0.013794451830294999,0.028479391359073784,0.1555679026880264,0.18098311283479862,0.19841288204695867,0.21016430507079206,True,0.028479391359073784,0.028479391359073784,0.18098311283479862,0.18098311283479862,0.19841288204695867,0.21016430507079206
20,5.5,5.25,0.01,0.01,5.652483324488609,5.444143557574024,0.01,0.01,False,0,0,0,0,0,0,True,-0.0030845781994181514,0.013160444739225494,0.15248332448860824,0.19414355757402413,0.20149746024637682,0.22332474981001754,True,0.013160444739225494,0.013160444739225494,0.19414355757402413,0.19414355757402413,0.20149746024637682,0.22332474981001754
21,6.5,5.25,0.01,0.01,6.6714084870225285,5.46845497802446,0.01,0.01,False,0,0,0,0,0,0,True,0.018925162533919515,0.024311420450436168,0.17140848702252776,0.2184549780244603,0.22042262278029634,0.2476361702604537,True,0.024311420450436168,0.024311420450436168,0.2184549780244603,0.2184549780244603,0.22042262278029634,0.2476361702604537
22,7.5,5.25,0.01,0.01,7.686798087699564,5.49169404947298,0.01,0.01,False,0,0,0,0,0,0,True,0.015389600677035493,0.023239071448520575,0.18679808769956324,0.24169404947298087,0.23581222345733183,0.27087524170897426,True,0.023239071448520575,0.023239071448520575,0.24169404947298087,0.24169404947298087,0.23581222345733183,0.27087524170897426
23,8.5,5.25,0.01,0.01,8.702462584028918,5.520720274470567,0.01,0.01,False,0,0,0,0,0,0,True,0.015664496329353777,0.029026224997586357,0.202462584028917,0.27072027447056723,0.2514767197866856,0.2999014667065606,True,0.029026224997586357,0.029026224997586357,0.27072027447056723,0.27072027447056723,0.2514767197866856,0.2999014667065606
24,8.5,6.75,0.01,0.01,8.702462584028916,7.020720274470567,0.01,0.01,False,0,0,0,0,0,0,True,0.0,0.0,0.202462584028917,0.27072027447056723,0.2514767197866856,0.2999014667065606,True,0.0,0.0,0.27072027447056723,0.27072027447056723,0.2514767197866856,0.2999014667065606
25,7.5,6.75,0.01,0.01,7.705982081282392,7.013053251599168,0.01,0.01,False,0,0,0,0,0,0,True,0.003519497253475584,-0.007667022871398527,0.2059820812823926,0.2630532515991687,0.2549962170401612,0.3075684895779591,True,-0.007667022871398527,-0.007667022871398527,0.2630532515991687,0.2630532515991687,0.2549962170401612,0.3075684895779591
26,6.5,6.75,0.01,0.01,6.716907177658826,7.026196223815473,0.01,0.01,False,0,0,0,0,0,0,True,0.010925096376434278,0.013142972216305338,0.21690717765882686,0.27619622381547404,0.2659213134165955,0.32071146179426446,True,0.013142972216305338,0.013142972216305338,0.27619622381547404,0.27619622381547404,0.2659213134165955,0.32071146179426446
27,5.5,6.75,0.01,0.01,5.736560267669414,7.020781349063077,0.01,0.01,False,0,0,0,0,0,0,True,0.019653090010587564,-0.0054148747523967145,0.23656026766941443,0.2707813490630773,0.28557440342718304,0.3261263365466612,True,-0.0054148747523967145,-0.0054148747523967145,0.2707813490630773,0.2707813490630773,0.28557440342718304,0.3261263365466612
28,4.5,6.75,0.01,0.01,4.7329749839685125,7.027890115850571,0.01,0.01,False,0,0,0,0,0,0,True,-0.0035852837009008875,0.007108766787494541,0.23297498396851354,0.2778901158505719,0.28915968712808393,0.33323510333415574,True,0.007108766787494541,0.007108766787494541,0.2778901158505719,0.2778901158505719,0.28915968712808393,0.33323510333415574
29,3.5,6.75,0.01,0.01,3.733957682259498,7.036085892039035,0.01,0.01,False,0,0,0,0,0,0,True,0.0009826982909853614,0.008195776188463275,0.2339576822594989,0.2860858920390352,0.2901423854190693,0.341430879522619,True,0.008195776188463275,0.008195776188463275,0.2860858920390352,0.2860858920390352,0.2901423854190693,0.341430879522619
30,2.5,6.75,0.01,0.01,2.7498365041809882,7.060545893417337,0.01,0.01,False,0,0,0,0,0,0,True,0.01587882192149017,0.02446000137830217,0.24983650418098907,0.31054589341733735,0.30602120734055943,0.3658908809009212,True,0.02446000137830217,0.02446000137830217,0.31054589341733735,0.31054589341733735,0.30602120734055943,0.3658908809009212
31,1.5,6.75,0.01,0.01,1.7670821692971124,7.073858967731409,0.01,0.01,False,0,0,0,0,0,0,True,0.017245665116124118,0.013313074314072188,0.2670821692971132,0.32385896773140954,0.32326687245668356,0.3792039552149934,True,0.013313074314072188,0.013313074314072188,0.32385896773140954,0.32385896773140954,0.32326687245668356,0.3792039552149934
32,1.5,8.25,0.01,0.01,1.7670821692971133,8.57385896773141,0.01,0.01,False,0,0,0,0,0,0,True,0.0,0.0,0.2670821692971132,0.32385896773140954,0.32326687245668356,0.3792039552149934,True,0.0,0.0,0.32385896773140954,0.32385896773140954,0.32326687245668356,0.3792039552149934
33,2.5,8.25,0.01,0.01,2.7702520760238984,8.576210176981206,0.01,0.01,False,0,0,0,0,0,0,True,0.0031699067267848876,0.002351209249796482,0.2702520760238981,0.326210176981206,0.3264367791834685,0.3815551644647899,True,0.002351209249796482,0.002351209249796482,0.326210176981206,0.326210176981206,0.3264367791834685,0.3815551644647899
34,3.5,8.25,0.01,0.01,3.770384510780511,8.55897393967504,0.01,0.01,False,0,0,0,0,0,0,True,0.00013243475661257886,-0.017236237306165955,0.2703845107805107,0.30897393967504005,0.32656921394008104,0.39879140177095584,True,-0.017236237306165955,-0.017236237306165955,0.30897393967504005,0.30897393967504005,0.32656921394008104,0.39879140177095584
35,4.5,8.25,0.01,0.01,4.7808401781307985,8.571076473273814,0.01,0.01,False,0,0,0,0,0,0,True,0.010455667350287322,0.012102533598774834,0.280840178130798,0.3210764732738149,0.33702488129036834,0.4108939353697307,True,0.012102533598774834,0.012102533598774834,0.3210764732738149,0.3210764732738149,0.33702488129036834,0.4108939353697307
36,5.5,8.25,0.01,0.01,5.789961507281037,8.580936685583401,0.01,0.01,False,0,0,0,0,0,0,True,0.009121329150238435,0.009860212309586171,0.2899615072810364,0.33093668558340106,0.3461462104406068,0.42075414767931685,True,0.009860212309586171,0.009860212309586171,0.33093668558340106,0.33093668558340106,0.3461462104406068,0.42075414767931685
37,6.5,8.25,0.01,0.01,6.792523301401547,8.583752213865983,0.01,0.01,False,0,0,0,0,0,0,True,0.0025617941205108045,0.0028155282825827336,0.29252330140154725,0.3337522138659838,0.3487080045611176,0.4235696759618996,True,0.0028155282825827336,0.0028155282825827336,0.3337522138659838,0.3337522138659838,0.3487080045611176,0.4235696759618996
38,7.5,8.25,0.01,0.01,7.794970150548386,8.586931016905242,0.01,0.01,False,0,0,0,0,0,0,True,0.0024468491468394513,0.00317880303925877,0.2949701505483867,0.3369310169052426,0.35115485370795707,0.42674847900115837,True,0.00317880303925877,0.00317880303925877,0.3369310169052426,0.3369310169052426,0.35115485370795707,0.42674847900115837
39,8.5,8.25,0.01,0.01,8.799639891210308,8.579762711624767,0.01,0.01,False,0,0,0,0,0,0,True,0.004669740661921435,-0.007168305280474083,0.29963989121030815,0.3297627116247685,0.3558245943698785,0.43391678428163244,True,-0.007168305280474083,-0.007168305280474083,0.3297627116247685,0.3297627116247685,0.3558245943698785,0.43391678428163244
40,8.5,9.25,0.01,0.01,8.799639891210308,9.579762711624769,0.01,0.01,False,0,0,0,0,0,0,True,0.0,0.0,0.29963989121030815,0.3297627116247685,0.3558245943698785,0.43391678428163244,True,0.0,0.0,0.3297627116247685,0.3297627116247685,0.3558245943698785,0.43391678428163244
41,7.5,9.25,0.01,0.01,7.802773828847033,9.590917819109627,0.01,0.01,False,0,0,0,0,0,0,True,0.0031339376367246694,0.011155107484858371,0.3027738288470328,0.3409178191096269,0.35895853200660316,0.4450718917664908,True,0.011155107484858371,0.011155107484858371,0.3409178191096269,0.3409178191096269,0.35895853200660316,0.4450718917664908
42,6.5,9.25,0.01,0.01,6.812250933124884,9.616906713688206,0.01,0.01,False,0,0,0,0,0,0,True,0.00947710427785112,0.025988894578578316,0.31225093312488394,0.3669067136882052,0.3684356362844543,0.47106078634506915,True,0.025988894578578316,0.025988894578578316,0.3669067136882052,0.3669067136882052,0.3684356362844543,0.47106078634506915
43,5.5,9.25,0.01,0.01,5.837619622701471,9.630557573484316,0.01,0.01,False,0,0,0,0,0,0,True,0.02536868957658736,0.013650859796109194,0.3376196227014713,0.3805575734843144,0.39380432586104164,0.48471164614117834,True,0.013650859796109194,0.013650859796109194,0.3805575734843144,0.3805575734843144,0.39380432586104164,0.48471164614117834
44,4.5,9.25,0.01,0.01,4.848254340492255,9.637917975251142,0.01,0.01,False,0,0,0,0,0,0,True,0.010634717790783932,0.0073604017668263445,0.34825434049225523,0.38791797525114075,0.4044390436518256,0.4920720479080047,True,0.0073604017668263445,0.0073604017668263445,0.38791797525114075,0.38791797525114075,0.4044390436518256,0.4920720479080047
45,3.5,9.25,0.01,0.01,3.8556037004301658,9.655311824965283,0.01,0.01,False,0,0,0,0,0,0,True,0.007349359937911161,0.017393849714141818,0.35560370043016637,0.40531182496528256,0.41178840358973673,0.5094658976221464,True,0.017393849714141818,0.017393849714141818,0.40531182496528256,0.40531182496528256,0.41178840358973673,0.5094658976221464
46,2.5,9.25,0.01,0.01,2.866053550111931,9.660551844660542,0.01,0.01,False,0,0,0,0,0,0,True,0.010449849681765431,0.00524001969525881,0.3660535501119318,0.4105518446605414,0.42223825327150216,0.5147059173174052,True,0.00524001969525881,0.00524001969525881,0.4105518446605414,0.4105518446605414,0.42223825327150216,0.5147059173174052
47,1.5,9.25,0.01,0.01,1.8682647083322916,9.666239807628727,0.01,0.01,False,0,0,0,0,0,0,True,0.00221115822036045,0.005687962968185214,0.36826470833229225,0.4162398076287266,0.4244494114918626,0.5203938802855904,True,0.005687962968185214,0.005687962968185214,0.4162398076287266,0.4162398076287266,0.4244494114918626,0.5203938802855904
