,error_status,error_individual_e,error_individual_n,error_cumulative_e,error_cumulative_n,error_absolute_cumulative_e,error_absolute_cumulative_n
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.012428761831821067,0.039313059505758474,0.012428761831821067,0.039313059505758474,0.012428761831821067,0.039313059505758474
2,1.0,0.1138671059185663,0.09794423660563689,0.12629586775038737,0.13725729611139537,0.12629586775038737,0.13725729611139537
3,1.0,0.007891486357502142,0.011361623522153419,0.1341873541078895,0.14861891963354878,0.1341873541078895,0.14861891963354878
4,1.0,0.01078456336686795,0.02310056704320429,0.14497191747475746,0.17171948667675307,0.14497191747475746,0.17171948667675307
5,1.0,0.0019415263752362577,0.015884962847363848,0.14691344384999372,0.18760444952411692,0.14691344384999372,0.18760444952411692
6,1.0,0.03237715358175208,0.022095955494566777,0.1792905974317458,0.2097004050186837,0.1792905974317458,0.2097004050186837
7,1.0,0.00878237463704945,-0.0015758983568221474,0.18807297206879525,0.20812450666186155,0.18807297206879525,0.21127630337550585
8,1.0,0.0,4.440892098500626e-16,0.18807297206879525,0.208124506661862,0.18807297206879525,0.2112763033755063
9,1.0,0.016605559404313297,0.008200845737122098,0.20467853147310855,0.2163253523989841,0.20467853147310855,0.2194771491126284
10,1.0,0.02514530539233828,0.015935320101279515,0.22982383686544683,0.2322606725002636,0.22982383686544683,0.2354124692139079
11,1.0,0.01590178891873162,0.004430732224043776,0.24572562578417845,0.23669140472430739,0.24572562578417845,0.23984320143795168
12,1.0,0.018946839734691245,0.014506301398354626,0.2646724655188697,0.251197706122662,0.2646724655188697,0.2543495028363063
13,1.0,0.09953135797423451,0.10285402820900291,0.3642038234931042,0.3540517343316649,0.3642038234931042,0.3572035310453092
14,1.0,0.005309834734863905,-0.007566880707479129,0.3695136582279681,0.3464848536241858,0.3695136582279681,0.36477041175278835
15,1.0,-0.005550217802196,0.023534585810479847,0.3639634404257721,0.37001943943466564,0.3750638760301641,0.3883049975632682
16,1.0,-2.220446049250313e-16,-8.881784197001252e-16,0.3639634404257719,0.37001943943466475,0.37506387603016433,0.3883049975632691
17,1.0,-0.005378556388623945,-0.002640395477937929,0.35858488403714794,0.3673790439567268,0.3804424324187883,0.390945393041207
18,1.0,-0.0012182420273432193,0.023925340272048956,0.3573666420098047,0.3913043842287758,0.3816606744461315,0.41487073331325597
19,1.0,0.020854887218315188,0.01216427996057945,0.3782215292281199,0.40346866418935523,0.4025155616644467,0.4270350132738354
20,1.0,0.0003389601929093544,0.01316770362201325,0.37856048942102927,0.4166363678113685,0.40285452185735604,0.44020271689584867
21,1.0,0.02506595987945648,0.014493559955094604,0.40362644930048575,0.4311299277664631,0.4279204817368125,0.45469627685094327
22,1.0,0.017994553544800063,-0.001291293445636832,0.4216210028452858,0.42983863432082625,0.4459150352816126,0.4559875702965801
23,1.0,0.010859331762039126,0.008154628678497033,0.43248033460732493,0.4379932629993233,0.4567743670436517,0.46414219897507714
24,1.0,1.7763568394002505e-15,0.0,0.4324803346073267,0.4379932629993233,0.4567743670436535,0.46414219897507714
25,1.0,0.004545755789632011,0.0056508297367114935,0.4370260903969587,0.4436440927360348,0.4613201228332855,0.46979302871178863
26,1.0,0.026973745515795677,0.001076980737947153,0.4639998359127544,0.44472107347398193,0.4882938683490812,0.4708700094497358
27,1.0,0.01895933920697246,0.016249699780342297,0.48295917511972686,0.46097077325432423,0.5072532075560536,0.4871197092300781
28,1.0,-0.005153608173219304,0.018104772985487294,0.47780556694650755,0.4790755462398115,0.5124068157292729,0.5052244822155654
29,1.0,0.002194241983863865,-0.005628847406444315,0.4799998089303714,0.4734466988333672,0.5146010577131368,0.5108533296220097
30,1.0,0.022364218740579922,0.022577684327044878,0.5023640276709513,0.4960243831604121,0.5369652764537167,0.5334310139490546
31,1.0,0.013938965817699156,-0.000766597345666753,0.5163029934886505,0.49525778581474533,0.5509042422714159,0.5341976112947213
32,1.0,-8.881784197001252e-16,-1.7763568394002505e-15,0.5163029934886496,0.49525778581474356,0.5509042422714168,0.5341976112947231
33,1.0,0.02389507597015461,0.0018885089995297477,0.5401980694588042,0.4971462948142733,0.5747993182415714,0.5360861202942528
34,1.0,0.014215103017405362,-0.007361418785206908,0.5544131724762096,0.4897848760290664,0.5890144212589767,0.5434475390794598
35,1.0,0.02111333748678934,0.002831429371976668,0.5755265099629989,0.49261630540104306,0.6101277587457661,0.5462789684514364
36,1.0,0.015429545389972432,0.000778073157782444,0.5909560553529714,0.4933943785588255,0.6255573041357385,0.5470570416092189
37,1.0,0.015785629002314394,0.008592070514891859,0.6067416843552857,0.5019864490737174,0.6413429331380529,0.5556491121241107
38,1.0,-0.006098502682086782,0.02199555601751335,0.600643181673199,0.5239820050912307,0.6474414358201397,0.5776446681416241
39,1.0,-0.0050807472247651475,-0.0014467510102864622,0.5955624344484338,0.5225352540809443,0.6525221830449048,0.5790914191519105
