,true_e,true_n,true_e_std,true_n_std,real_e,real_n,real_e_std,real_n_std,jump_status,jump_individual_e,jump_individual_n,jump_cumulative_e,jump_cumulative_n,jump_absolute_cumulative_e,jump_absolute_cumulative_n,drift_status,drift_individual_e,drift_individual_n,drift_cumulative_e,drift_cumulative_n,drift_absolute_cumulative_e,drift_absolute_cumulative_n,error_status,error_individual_e,error_individual_n,error_cumulative_e,error_cumulative_n,error_absolute_cumulative_e,error_absolute_cumulative_n,epoch
10,11.5,2.25,0.01,0.01,11.595732469056268,2.343017229618675,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.014963253057442116,-0.0017232463650389152,0.0957324690562692,0.09301722961867523,0.12274342554433143,0.09646372234875306,True,-0.0017232463650389152,-0.0017232463650389152,0.09301722961867523,0.09301722961867523,0.12274342554433143,0.09646372234875306,10
11,12.5,2.25,0.01,0.01,12.609907816278259,2.3463759823636607,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.014175347221991895,0.003358752744985854,0.1099078162782611,0.09637598236366109,0.13691877276632333,0.09982247509373891,True,0.003358752744985854,0.003358752744985854,0.09637598236366109,0.09637598236366109,0.13691877276632333,0.09982247509373891,11
12,13.5,2.25,0.01,0.01,13.616601694249896,2.3456096377439604,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0066938779716370555,-0.0007663446197001961,0.11660169424989815,0.09560963774396089,0.1436126507379604,0.10058881971343911,True,-0.0007663446197001961,-0.0007663446197001961,0.09560963774396089,0.09560963774396089,0.1436126507379604,0.10058881971343911,12
13,14.5,2.25,0.01,0.01,14.642043785133403,2.3558072449230307,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.025442090883507018,0.010197607179070266,0.14204378513340515,0.10580724492303116,0.1690547416214674,0.11078642689250938,True,0.010197607179070266,0.010197607179070266,0.10580724492303116,0.10580724492303116,0.1690547416214674,0.11078642689250938,13
14,15.5,2.25,0.01,0.01,15.662577769503438,2.363962612317067,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.020533984370034,0.008155367394036607,0.16257776950343916,0.11396261231706777,0.18958872599150142,0.11894179428654598,True,0.008155367394036607,0.008155367394036607,0.11396261231706777,0.11396261231706777,0.18958872599150142,0.11894179428654598,14
15,16.5,2.25,0.01,0.01,16.67917737748796,2.365725161792804,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.016599607984523018,0.0017625494757368913,0.17917737748796217,0.11572516179280466,0.20618833397602443,0.12070434376228288,True,0.0017625494757368913,0.0017625494757368913,0.11572516179280466,0.11572516179280466,0.20618833397602443,0.12070434376228288,15
16,17.5,2.25,0.01,0.01,17.694395307987833,2.382624380420921,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.015217930499871357,0.016899218628117052,0.19439530798783353,0.13262438042092173,0.2214062644758958,0.13760356239039995,True,0.016899218628117052,0.016899218628117052,0.13262438042092173,0.13262438042092173,0.2214062644758958,0.13760356239039995,16
17,18.5,2.25,0.01,0.01,18.705159382839373,2.3837351363239416,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.010764074851540956,0.0011107559030208818,0.2051593828393745,0.1337351363239426,0.23217033932743675,0.13871431829342082,True,0.0011107559030208818,0.0011107559030208818,0.1337351363239426,0.1337351363239426,0.23217033932743675,0.13871431829342082,17
18,19.5,2.25,0.01,0.01,19.71805435890943,2.384666293779065,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.012894976070057313,0.0009311574551229586,0.2180543589094318,0.13466629377906555,0.24506531539749407,0.13964547574854377,True,0.0009311574551229586,0.0009311574551229586,0.13466629377906555,0.13466629377906555,0.24506531539749407,0.13964547574854377,18
19,20.5,2.25,0.01,0.01,20.727772382774848,2.399746665836564,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.00971802386541834,0.015080372057499323,0.22777238277485015,0.14974666583656487,0.2547833392629124,0.1547258478060431,True,0.015080372057499323,0.015080372057499323,0.14974666583656487,0.14974666583656487,0.2547833392629124,0.1547258478060431,19
20,21.5,2.25,0.01,0.01,21.74954989447232,2.4026833557905336,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.021777511697472392,0.002936689953969779,0.24954989447232254,0.15268335579053466,0.2765608509603848,0.15766253776001288,True,0.002936689953969779,0.002936689953969779,0.15268335579053466,0.15268335579053466,0.2765608509603848,0.15766253776001288,20
21,22.5,2.25,0.01,0.01,22.76784856476673,2.408173215239231,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.018298670294409444,0.005489859448697444,0.26784856476673197,0.1581732152392321,0.29485952125479425,0.16315239720871033,True,0.005489859448697444,0.005489859448697444,0.1581732152392321,0.1581732152392321,0.29485952125479425,0.16315239720871033,21
22,23.5,2.25,0.01,0.01,23.772543334738906,2.410360419160305,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.004694769972174595,0.0021872039210739155,0.2725433347389066,0.16036041916030602,0.29955429122696886,0.16533960112978424,True,0.0021872039210739155,0.0021872039210739155,0.16036041916030602,0.16036041916030602,0.29955429122696886,0.16533960112978424,22
23,24.5,2.25,0.01,0.01,24.777270373286527,2.4251415478620473,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.004727038547621322,0.014781128701742512,0.27727037328652787,0.17514154786204852,0.30428132977459016,0.18012072983152674,True,0.014781128701742512,0.014781128701742512,0.17514154786204852,0.17514154786204852,0.30428132977459016,0.18012072983152674,23
24,25.5,2.25,0.01,0.01,25.791195735251183,2.440512732966183,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.01392536196465595,0.015371185104135736,0.2911957352511838,0.19051273296618426,0.3182066917392461,0.19549191493566248,True,0.015371185104135736,0.015371185104135736,0.19051273296618426,0.19051273296618426,0.3182066917392461,0.19549191493566248,24
25,26.5,2.25,0.01,0.01,26.797815296268936,2.4521965491860076,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.006619561017754261,0.011683816219824934,0.29781529626893805,0.20219654918600918,0.32482625275700033,0.2071757311554874,True,0.011683816219824934,0.011683816219824934,0.20219654918600918,0.20219654918600918,0.32482625275700033,0.2071757311554874,25
26,27.5,2.25,0.01,0.01,27.80637724449728,2.460245281204636,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.008561948228344152,0.008048732018628274,0.3063772444972822,0.21024528120463745,0.3333882009853445,0.21522446317411567,True,0.008048732018628274,0.008048732018628274,0.21024528120463745,0.21024528120463745,0.3333882009853445,0.21522446317411567,26
27,28.5,2.25,0.01,0.01,28.816543386591277,2.4857214877864835,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.010166142093995212,0.02547620658184758,0.3165433865912774,0.23572148778648502,0.3435543430793397,0.24070066975596324,True,0.02547620658184758,0.02547620658184758,0.23572148778648502,0.23572148778648502,0.3435543430793397,0.24070066975596324,27
28,29.5,2.25,0.01,0.01,29.82388252001333,2.4983678166527334,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0073391334220521635,0.01264632886625004,0.32388252001332957,0.24836781665273505,0.35089347650139185,0.25334699862221327,True,0.01264632886625004,0.01264632886625004,0.24836781665273505,0.24836781665273505,0.35089347650139185,0.25334699862221327,28
29,30.5,2.25,0.01,0.01,30.841002305992152,2.5122171534491358,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.017119785978820818,0.013849336796402222,0.34100230599215037,0.26221715344913726,0.36801326248021266,0.2671963354186155,True,0.013849336796402222,0.013849336796402222,0.26221715344913726,0.26221715344913726,0.36801326248021266,0.2671963354186155,29
30,31.5,2.25,0.01,0.01,31.865967111285826,2.520460810019597,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.024964805293675063,0.008243656570461149,0.36596711128582543,0.27046081001959843,0.3929780677738877,0.27543999198907665,True,0.008243656570461149,0.008243656570461149,0.27046081001959843,0.27046081001959843,0.3929780677738877,0.27543999198907665,30
31,32.5,2.25,0.01,0.01,32.86501639008288,2.514609072238888,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,-0.000950721202947891,-0.005851737780709082,0.36501639008287756,0.26460907223888935,0.3939287889768356,0.2812917297697857,True,-0.005851737780709082,-0.005851737780709082,0.26460907223888935,0.26460907223888935,0.3939287889768356,0.2812917297697857,31
32,33.5,2.25,0.01,0.01,33.865711126307495,2.525260348725056,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0006947362246160823,0.01065127648616775,0.36571112630749364,0.2752603487250571,0.39462352520145166,0.2919430062559535,True,0.01065127648616775,0.01065127648616775,0.2752603487250571,0.2752603487250571,0.39462352520145166,0.2919430062559535,32
33,34.5,2.25,0.01,0.01,34.87511074403537,2.5438468157943963,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.00939961772787319,0.018586467069340723,0.3751107440353668,0.29384681579439786,0.40402314292932484,0.31052947332529424,True,0.018586467069340723,0.018586467069340723,0.29384681579439786,0.29384681579439786,0.40402314292932484,0.31052947332529424,33
