,true_e,true_n,true_e_std,true_n_std,real_e,real_n,real_e_std,real_n_std,jump_status,jump_individual_e,jump_individual_n,jump_cumulative_e,jump_cumulative_n,jump_absolute_cumulative_e,jump_absolute_cumulative_n,drift_status,drift_individual_e,drift_individual_n,drift_cumulative_e,drift_cumulative_n,drift_absolute_cumulative_e,drift_absolute_cumulative_n,error_status,error_individual_e,error_individual_n,error_cumulative_e,error_cumulative_n,error_absolute_cumulative_e,error_absolute_cumulative_n,epoch
0,1.5,2.25,0.01,0.01,1.5,2.25,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0
1,2.5,2.25,0.01,0.01,2.508629634146689,2.2533945646286226,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.008629634146689132,0.003394564628622674,0.008629634146689132,0.003394564628622674,0.008629634146689132,0.003394564628622674,True,0.003394564628622674,0.003394564628622674,0.003394564628622674,0.003394564628622674,0.008629634146689132,0.003394564628622674,1
2,3.5,2.25,0.01,0.01,3.5096275393514795,2.2508828127860228,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.000997905204790572,-0.0025117518425999165,0.009627539351479704,0.0008828127860227575,0.009627539351479704,0.0059063164712225905,True,-0.0025117518425999165,-0.0025117518425999165,0.0008828127860227575,0.0008828127860227575,0.009627539351479704,0.0059063164712225905,2
3,4.5,2.25,0.01,0.01,4.52450683632967,2.2548733606212004,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.014879296978190838,0.003990547835177533,0.02450683632967054,0.00487336062120029,0.02450683632967054,0.009896864306400122,True,0.003990547835177533,0.003990547835177533,0.00487336062120029,0.00487336062120029,0.02450683632967054,0.009896864306400122,3
4,5.5,2.25,0.01,0.01,5.530425365873948,2.2693985710961333,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.005918529544277781,0.014525210474933038,0.030425365873948323,0.019398571096133327,0.030425365873948323,0.02442207478133316,True,0.014525210474933038,0.014525210474933038,0.019398571096133327,0.019398571096133327,0.030425365873948323,0.02442207478133316,4
5,6.5,2.25,0.01,0.01,6.543103969260852,2.2854204343168862,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.012678603386904016,0.016021863220753087,0.04310396926085234,0.035420434316886414,0.04310396926085234,0.04044393800208625,True,0.016021863220753087,0.016021863220753087,0.035420434316886414,0.035420434316886414,0.04310396926085234,0.04044393800208625,5
6,7.5,2.25,0.01,0.01,7.553549848795394,2.299711745378333,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.010445879534542077,0.014291311061446849,0.053549848795394414,0.04971174537833326,0.053549848795394414,0.054735249063533095,True,0.014291311061446849,0.014291311061446849,0.04971174537833326,0.04971174537833326,0.053549848795394414,0.054735249063533095,6
7,8.5,2.25,0.01,0.01,8.57477383363543,2.314256493515354,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.02122398484003385,0.01454474813702054,0.07477383363542826,0.0642564935153538,0.07477383363542826,0.06927999720055364,True,0.01454474813702054,0.01454474813702054,0.0642564935153538,0.0642564935153538,0.07477383363542826,0.06927999720055364,7
8,8.5,3.75,0.01,0.01,8.574773833635428,3.814256493515354,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.07477383363542826,0.0642564935153538,0.07477383363542826,0.06927999720055364,True,0.0,0.0,0.0642564935153538,0.0642564935153538,0.07477383363542826,0.06927999720055364,8
9,7.5,3.75,0.01,0.01,7.584648607397925,3.813642163190867,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.009874773762497936,-0.000614330324487055,0.0846486073979262,0.06364216319086674,0.0846486073979262,0.0698943275250407,True,-0.000614330324487055,-0.000614330324487055,0.06364216319086674,0.06364216319086674,0.0846486073979262,0.0698943275250407,9
