,true_e,true_n,true_e_std,true_n_std,real_e,real_n,real_e_std,real_n_std,jump_status,jump_individual_e,jump_individual_n,jump_cumulative_e,jump_cumulative_n,jump_absolute_cumulative_e,jump_absolute_cumulative_n,drift_status,drift_individual_e,drift_individual_n,drift_cumulative_e,drift_cumulative_n,drift_absolute_cumulative_e,drift_absolute_cumulative_n,error_status,error_individual_e,error_individual_n,error_cumulative_e,error_cumulative_n,error_absolute_cumulative_e,error_absolute_cumulative_n,epoch
0,1.5,2.25,0.01,0.01,1.5,2.25,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0
1,2.5,2.25,0.01,0.01,2.5009566031600574,2.2508671385034202,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.000956603160057246,0.0008671385034204077,0.000956603160057246,0.0008671385034204077,0.000956603160057246,0.0008671385034204077,True,0.000956603160057246,0.0008671385034204077,0.000956603160057246,0.0008671385034204077,0.000956603160057246,0.0008671385034204077,1
2,3.5,2.25,0.01,0.01,3.5019635077558418,2.2518147134669144,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.001006904595784123,0.0009475749634942314,0.0019635077558413693,0.0018147134669146392,0.0019635077558413693,0.0018147134669146392,True,0.001006904595784123,0.0009475749634942314,0.0019635077558413693,0.0018147134669146392,0.0019635077558413693,0.0018147134669146392,2
3,4.5,2.25,0.01,0.01,4.5028490379809565,2.2529037967382797,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0008855302251149278,0.0010890832713650945,0.002849037980956297,0.0029037967382797335,0.002849037980956297,0.0029037967382797335,True,0.0008855302251149278,0.0010890832713650945,0.002849037980956297,0.0029037967382797335,0.002849037980956297,0.0029037967382797335,3
4,5.5,2.25,0.01,0.01,5.503929688595972,2.25397036058364,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0010806506150155592,0.0010665638453603958,0.003929688595971856,0.003970360583640129,0.003929688595971856,0.003970360583640129,True,0.0010806506150155592,0.0010665638453603958,0.003929688595971856,0.003970360583640129,0.003929688595971856,0.003970360583640129,4
5,6.5,2.25,0.01,0.01,6.504895186236637,2.254864812152881,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0009654976406650745,0.0008944515692408904,0.004895186236636931,0.00486481215288102,0.004895186236636931,0.00486481215288102,True,0.0009654976406650745,0.0008944515692408904,0.004895186236636931,0.00486481215288102,0.004895186236636931,0.00486481215288102,5
6,7.5,2.25,0.01,0.01,7.506077513240828,2.255736895921664,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0011823270041912233,0.0008720837687834279,0.006077513240828154,0.0057368959216644476,0.006077513240828154,0.0057368959216644476,True,0.0011823270041912233,0.0008720837687834279,0.006077513240828154,0.0057368959216644476,0.006077513240828154,0.0057368959216644476,6
7,8.5,2.25,0.01,0.01,8.506963113029652,2.2566339497692995,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0008855997888225365,0.000897053847635386,0.006963113029650691,0.006633949769299834,0.006963113029650691,0.006633949769299834,True,0.0008855997888225365,0.000897053847635386,0.006963113029650691,0.006633949769299834,0.006963113029650691,0.006633949769299834,7
8,8.5,3.75,0.01,0.01,8.50696311302965,3.7566339497693,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.006963113029650691,0.006633949769299834,0.006963113029650691,0.006633949769299834,True,0.0,0.0,0.006963113029650691,0.006633949769299834,0.006963113029650691,0.006633949769299834,8
9,7.5,3.75,0.01,0.01,7.507750766096017,3.757540341562318,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0007876530663674498,0.0009063917930179862,0.0077507660960181406,0.00754034156231782,0.0077507660960181406,0.00754034156231782,True,0.0007876530663674498,0.0009063917930179862,0.0077507660960181406,0.00754034156231782,0.0077507660960181406,0.00754034156231782,9
