,true_e,true_n,true_e_std,true_n_std,real_e,real_n,real_e_std,real_n_std,jump_status,jump_individual_e,jump_individual_n,jump_cumulative_e,jump_cumulative_n,jump_absolute_cumulative_e,jump_absolute_cumulative_n,drift_status,drift_individual_e,drift_individual_n,drift_cumulative_e,drift_cumulative_n,drift_absolute_cumulative_e,drift_absolute_cumulative_n,error_status,error_individual_e,error_individual_n,error_cumulative_e,error_cumulative_n,error_absolute_cumulative_e,error_absolute_cumulative_n,epoch
0,1.5,2.25,0.01,0.01,1.5,2.25,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0
1,2.5,2.25,0.01,0.01,2.598236203044804,2.3440149683929383,0.01,0.01,True,0.0970946360056265,0.09316396607870585,0.0970946360056265,0.09316396607870585,0.0970946360056265,0.09316396607870585,True,0.0011415670391777752,0.000851002314232514,0.0011415670391777752,0.000851002314232514,0.0011415670391777752,0.000851002314232514,True,0.09823620304480427,0.09401496839293837,0.09823620304480427,0.09401496839293837,0.09823620304480427,0.09401496839293837,1
2,3.5,2.25,0.01,0.01,3.5992363405476393,2.345056248042219,0.01,0.01,False,0.0,0.0,0.0970946360056265,0.09316396607870585,0.0970946360056265,0.09316396607870585,True,0.0010001375028352245,0.0010412796492803218,0.002141704542013,0.001892281963512836,0.002141704542013,0.001892281963512836,True,0.0010001375028352245,0.0010412796492803218,0.0992363405476395,0.09505624804221868,0.0992363405476395,0.09505624804221868,2
3,4.5,2.25,0.01,0.01,4.600396759675899,2.3462132589862854,0.01,0.01,False,0.0,0.0,0.0970946360056265,0.09316396607870585,0.0970946360056265,0.09316396607870585,True,0.0011604191282597793,0.0011570109440667306,0.0033021236702727792,0.0030492929075795665,0.0033021236702727792,0.0030492929075795665,True,0.0011604191282597793,0.0011570109440667306,0.10039675967589928,0.09621325898628541,0.10039675967589928,0.09621325898628541,3
4,5.5,2.25,0.01,0.01,5.601593986007461,2.347228848885016,0.01,0.01,False,0.0,0.0,0.0970946360056265,0.09316396607870585,0.0970946360056265,0.09316396607870585,True,0.001197226331561613,0.0010155898987305662,0.004499350001834392,0.004064882806310133,0.004499350001834392,0.004064882806310133,True,0.001197226331561613,0.0010155898987305662,0.10159398600746089,0.09722884888501598,0.10159398600746089,0.09722884888501598,4
5,6.5,2.25,0.01,0.01,6.705959470863664,2.437907310847265,0.01,0.01,True,0.10339296053732383,0.08962137845842118,0.20048759654295034,0.18278534453712703,0.20048759654295034,0.18278534453712703,True,0.0009725243188787149,0.0010570835038279068,0.005471874320713107,0.00512196631013804,0.005471874320713107,0.00512196631013804,True,0.10436548485620255,0.09067846196224909,0.20595947086366345,0.18790731084726506,0.20595947086366345,0.18790731084726506,5
6,7.5,2.25,0.01,0.01,7.70693121119396,2.4388113111500127,0.01,0.01,False,0.0,0.0,0.20048759654295034,0.18278534453712703,0.20048759654295034,0.18278534453712703,True,0.000971740330296862,0.0009040003027479995,0.006443614651009969,0.0060259666128860395,0.006443614651009969,0.0060259666128860395,True,0.000971740330296862,0.0009040003027479995,0.20693121119396032,0.18881131115001307,0.20693121119396032,0.18881131115001307,6
7,8.5,2.25,0.01,0.01,8.795169814444108,2.542762259019073,0.01,0.01,True,0.0872715724823836,0.10278324163315339,0.28775916902533394,0.2855685861702804,0.28775916902533394,0.2855685861702804,True,0.0009670307677637253,0.0011677062359069647,0.007410645418773695,0.0071936728487930045,0.007410645418773695,0.0071936728487930045,True,0.08823860325014732,0.10395094786906035,0.2951698144441076,0.29276225901907343,0.2951698144441076,0.29276225901907343,7
8,8.5,3.75,0.01,0.01,8.795169814444108,4.0427622590190735,0.01,0.01,True,0.0,0.0,0.28775916902533394,0.2855685861702804,0.28775916902533394,0.2855685861702804,True,0.0,0.0,0.007410645418773695,0.0071936728487930045,0.007410645418773695,0.0071936728487930045,True,0.0,0.0,0.2951698144441076,0.29276225901907343,0.2951698144441076,0.29276225901907343,8
9,7.5,3.75,0.01,0.01,7.796271236175941,4.043770893971826,0.01,0.01,False,0.0,0.0,0.28775916902533394,0.2855685861702804,0.28775916902533394,0.2855685861702804,True,0.0011014217318328834,0.0010086349527522976,0.008512067150606577,0.008202307801545301,0.008512067150606577,0.008202307801545301,True,0.0011014217318328834,0.0010086349527522976,0.29627123617594053,0.2937708939718257,0.29627123617594053,0.2937708939718257,9
10,6.5,3.75,0.01,0.01,6.797251601418866,4.044764535000836,0.01,0.01,False,0.0,0.0,0.28775916902533394,0.2855685861702804,0.28775916902533394,0.2855685861702804,True,0.000980365242924968,0.0009936410290106565,0.009492432393531546,0.009195948830555958,0.009492432393531546,0.009195948830555958,True,0.000980365242924968,0.0009936410290106565,0.2972516014188655,0.2947645350008364,0.2972516014188655,0.2947645350008364,10
11,5.5,3.75,0.01,0.01,5.798271908273357,4.045907314693315,0.01,0.01,False,0.0,0.0,0.28775916902533394,0.2855685861702804,0.28775916902533394,0.2855685861702804,True,0.0010203068544908337,0.0011427796924783579,0.01051273924802238,0.010338728523034316,0.01051273924802238,0.010338728523034316,True,0.0010203068544908337,0.0011427796924783579,0.2982719082733563,0.2959073146933147,0.2982719082733563,0.2959073146933147,11
