,True_E,True_N,True_E_std,True_N_std,Real_E,Real_N,Real_E_std,Real_N_std,Jump_Status,Jump_Individual_E,Jump_Individual_N,Jump_Cumulative_E,Jump_Cumulative_N,Jump_Absolute_Cumulative_E,Jump_Absolute_Cumulative_N,Drift_Status,Drift_Individual_E,Drift_Individual_N,Drift_Cumulative_E,Drift_Cumulative_N,Drift_Absolute_Cumulative_E,Drift_Absolute_Cumulative_N,Error_Status,Error_Individual_E,Error_Individual_N,Error_Cumulative_E,Error_Cumulative_N,Error_Absolute_Cumulative_E,Error_Absolute_Cumulative_N
10,6.5,3.75,0.01,0.01,6.576666302910583,3.825909798799523,0.01,0.01,False,0,0,0,0,0,0,True,0.016106877330148508,0.014254860122899001,0.07666630291058336,0.0759097987995233,0.12644369910707098,0.08105560239470681,True,0.014254860122899001,0.014254860122899001,0.0759097987995233,0.0759097987995233,0.12644369910707098,0.08105560239470681
11,5.5,3.75,0.01,0.01,5.5609247627610845,3.8428763274118576,0.01,0.01,False,0,0,0,0,0,0,True,-0.015741540149498696,0.016966528612334393,0.06092476276108467,0.0928763274118577,0.14218523925656967,0.09802213100704121,True,0.016966528612334393,0.016966528612334393,0.0928763274118577,0.0928763274118577,0.14218523925656967,0.09802213100704121
12,4.5,3.75,0.01,0.01,4.583597084571475,3.8565207540335082,0.01,0.01,False,0,0,0,0,0,0,True,0.02267232181039041,0.013644426621650555,0.08359708457147508,0.10652075403350825,0.1648575610669601,0.11166655762869176,True,0.013644426621650555,0.013644426621650555,0.10652075403350825,0.10652075403350825,0.1648575610669601,0.11166655762869176
13,3.5,3.75,0.01,0.01,3.606728009305942,3.8676236444503305,0.01,0.01,False,0,0,0,0,0,0,True,0.023130924734466998,0.011102890416822091,0.10672800930594208,0.11762364445033034,0.18798848580142707,0.12276944804551386,True,0.011102890416822091,0.011102890416822091,0.11762364445033034,0.11762364445033034,0.18798848580142707,0.12276944804551386
14,2.5,3.75,0.01,0.01,2.628012333830327,3.882690478725127,0.01,0.01,False,0,0,0,0,0,0,True,0.021284324524384862,0.015066834274796392,0.12801233383032695,0.13269047872512674,0.20927281032581194,0.13783628232031025,True,0.015066834274796392,0.015066834274796392,0.13269047872512674,0.13269047872512674,0.20927281032581194,0.13783628232031025
15,1.5,3.75,0.01,0.01,1.6235323041867673,3.886561902358194,0.01,0.01,False,0,0,0,0,0,0,True,-0.0044800296435597,0.003871423633066924,0.12353230418676725,0.13656190235819365,0.21375283996937164,0.14170770595337717,True,0.003871423633066924,0.003871423633066924,0.13656190235819365,0.13656190235819365,0.21375283996937164,0.14170770595337717
16,1.5,5.25,0.01,0.01,1.6235323041867673,5.386561902358194,0.01,0.01,False,0,0,0,0,0,0,True,0.0,0.0,0.12353230418676725,0.13656190235819365,0.21375283996937164,0.14170770595337717,True,0.0,0.0,0.13656190235819365,0.13656190235819365,0.21375283996937164,0.14170770595337717
17,2.5,5.25,0.01,0.01,2.6635708837477434,5.3985110431215215,0.01,0.01,False,0,0,0,0,0,0,True,0.04003857956097617,0.01194914076332727,0.16357088374774342,0.1485110431215209,0.2537914195303478,0.15365684671670443,True,0.01194914076332727,0.01194914076332727,0.1485110431215209,0.1485110431215209,0.2537914195303478,0.15365684671670443
18,3.5,5.25,0.01,0.01,3.676755378871013,5.4095353056552336,0.01,0.01,False,0,0,0,0,0,0,True,0.013184495123269264,0.011024262533711863,0.1767553788710127,0.15953530565523277,0.26697591465361703,0.1646811092504163,True,0.011024262533711863,0.011024262533711863,0.15953530565523277,0.15953530565523277,0.26697591465361703,0.1646811092504163
19,4.5,5.25,0.01,0.01,4.6774044777093025,5.442001011332534,0.01,0.01,False,0,0,0,0,0,0,True,0.0006490988382900995,0.03246570567730116,0.1774044777093028,0.19200101133253394,0.26762501349190715,0.19714681492771746,True,0.03246570567730116,0.03246570567730116,0.19200101133253394,0.19200101133253394,0.26762501349190715,0.19714681492771746
