,jump_status,jump_individual_e,jump_individual_n,jump_cumulative_e,jump_cumulative_n,jump_absolute_cumulative_e,jump_absolute_cumulative_n,drift_status,drift_individual_e,drift_individual_n,drift_cumulative_e,drift_cumulative_n,drift_absolute_cumulative_e,drift_absolute_cumulative_n,error_status,error_individual_e,error_individual_n,error_cumulative_e,error_cumulative_n,error_absolute_cumulative_e,error_absolute_cumulative_n
0,9.27608872044e-312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0010287652837335237,0.0010324885392032357,0.0010287652837335237,0.0010324885392032357,0.0010287652837335237,0.0010324885392032357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0010287652837335237,0.0010324885392032357,0.0010287652837335237,0.0010324885392032357,0.0010287652837335237,0.0010324885392032357
2,1.0,0.001077890497634737,0.0010430841132977875,0.0021066557813682607,0.002075572652501023,0.0021066557813682607,0.002075572652501023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.001077890497634737,0.0010430841132977875,0.0021066557813682607,0.002075572652501023,0.0021066557813682607,0.002075572652501023
3,1.0,0.0010841565641568351,0.000974538962049909,0.003190812345525096,0.003050111614550932,0.003190812345525096,0.003050111614550932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0010841565641568351,0.000974538962049909,0.003190812345525096,0.003050111614550932,0.003190812345525096,0.003050111614550932
4,1.0,0.09633989475041371,0.11046904842200433,0.09953070709593881,0.11351916003655527,0.09953070709593881,0.11351916003655527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09633989475041371,0.11046904842200433,0.09953070709593881,0.11351916003655527,0.09953070709593881,0.11351916003655527
5,1.0,0.000918718848559763,0.0011417365848749306,0.10044942594449857,0.1146608966214302,0.10044942594449857,0.1146608966214302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.000918718848559763,0.0011417365848749306,0.10044942594449857,0.1146608966214302,0.10044942594449857,0.1146608966214302
6,1.0,0.0010328828407066837,0.0007190060815744914,0.10148230878520526,0.11537990270300469,0.10148230878520526,0.11537990270300469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0010328828407066837,0.0007190060815744914,0.10148230878520526,0.11537990270300469,0.10148230878520526,0.11537990270300469
7,1.0,0.0008960800212483022,0.0010834993815680427,0.10237838880645356,0.11646340208457273,0.10237838880645356,0.11646340208457273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0008960800212483022,0.0010834993815680427,0.10237838880645356,0.11646340208457273,0.10237838880645356,0.11646340208457273
8,1.0,1.7763568394002505e-15,4.440892098500626e-16,0.10237838880645533,0.11646340208457318,0.10237838880645533,0.11646340208457318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.7763568394002505e-15,4.440892098500626e-16,0.10237838880645533,0.11646340208457318,0.10237838880645533,0.11646340208457318
9,1.0,0.0010129996397383323,0.0009463768230975056,0.10339138844619367,0.11740977890767068,0.10339138844619367,0.11740977890767068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0010129996397383323,0.0009463768230975056,0.10339138844619367,0.11740977890767068,0.10339138844619367,0.11740977890767068
10,1.0,0.0010938520810466201,0.0010234367430279612,0.10448524052724029,0.11843321565069864,0.10448524052724029,0.11843321565069864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0010938520810466201,0.0010234367430279612,0.10448524052724029,0.11843321565069864,0.10448524052724029,0.11843321565069864
11,1.0,0.11546575685478899,0.11911857349735344,0.21995099738202928,0.23755178914805208,0.21995099738202928,0.23755178914805208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.11546575685478899,0.11911857349735344,0.21995099738202928,0.23755178914805208,0.21995099738202928,0.23755178914805208
12,1.0,0.0009678462950262201,0.0007486759750419125,0.2209188436770555,0.238300465123094,0.2209188436770555,0.238300465123094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0009678462950262201,0.0007486759750419125,0.2209188436770555,0.238300465123094,0.2209188436770555,0.238300465123094
13,1.0,0.000850451560536758,0.0009620310723947867,0.22176929523759226,0.23926249619548878,0.22176929523759226,0.23926249619548878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.000850451560536758,0.0009620310723947867,0.22176929523759226,0.23926249619548878,0.22176929523759226,0.23926249619548878
14,1.0,0.0008292206751048248,0.0009819113806841528,0.22259851591269708,0.24024440757617294,0.22259851591269708,0.24024440757617294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0008292206751048248,0.0009819113806841528,0.22259851591269708,0.24024440757617294,0.22259851591269708,0.24024440757617294
15,1.0,0.0009168790659688231,0.0010419627072204563,0.2235153949786659,0.2412863702833934,0.2235153949786659,0.2412863702833934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0009168790659688231,0.0010419627072204563,0.2235153949786659,0.2412863702833934,0.2235153949786659,0.2412863702833934
16,1.0,1.9984014443252818e-15,4.440892098500626e-16,0.2235153949786679,0.24128637028339384,0.2235153949786679,0.24128637028339384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.9984014443252818e-15,4.440892098500626e-16,0.2235153949786679,0.24128637028339384,0.2235153949786679,0.24128637028339384
17,1.0,0.0011085799630676796,0.0010695457721299206,0.22462397494173558,0.24235591605552376,0.22462397494173558,0.24235591605552376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0011085799630676796,0.0010695457721299206,0.22462397494173558,0.24235591605552376,0.22462397494173558,0.24235591605552376
18,1.0,0.00085984638730352,0.0010680128142475098,0.2254838213290391,0.24342392886977127,0.2254838213290391,0.24342392886977127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00085984638730352,0.0010680128142475098,0.2254838213290391,0.24342392886977127,0.2254838213290391,0.24342392886977127
19,1.0,0.0010812163718325607,0.001024956647871278,0.22656503770087166,0.24444888551764254,0.22656503770087166,0.24444888551764254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0010812163718325607,0.001024956647871278,0.22656503770087166,0.24444888551764254,0.22656503770087166,0.24444888551764254
20,1.0,0.0009065554267522202,0.000965738351624168,0.22747159312762388,0.2454146238692667,0.22747159312762388,0.2454146238692667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0009065554267522202,0.000965738351624168,0.22747159312762388,0.2454146238692667,0.22747159312762388,0.2454146238692667
