,jump_status,jump_individual_e,jump_individual_n,jump_cumulative_e,jump_cumulative_n,jump_absolute_cumulative_e,jump_absolute_cumulative_n,drift_status,drift_individual_e,drift_individual_n,drift_cumulative_e,drift_cumulative_n,drift_absolute_cumulative_e,drift_absolute_cumulative_n,error_status,error_individual_e,error_individual_n,error_cumulative_e,error_cumulative_n,error_absolute_cumulative_e,error_absolute_cumulative_n
0,1.4870253865594e-311,0.0,0.0,0.0,0.0,0.0,0.0,1.4870254369225e-311,0.0,0.0,0.0,0.0,0.0,0.0,1.487025122333e-311,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.009895831941247657,0.010047492934892155,0.009895831941247657,0.010047492934892155,0.009895831941247657,0.010047492934892155,1.0,0.009895831941247657,0.010047492934892155,0.009895831941247657,0.010047492934892155,0.009895831941247657,0.010047492934892155
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.010088769810306264,0.009868980470153055,0.01998460175155392,0.01991647340504521,0.01998460175155392,0.01991647340504521,1.0,0.010088769810306264,0.009868980470153055,0.01998460175155392,0.01991647340504521,0.01998460175155392,0.01991647340504521
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.010121396507777103,0.009846149310619445,0.030105998259331024,0.029762622715664655,0.030105998259331024,0.029762622715664655,1.0,0.010121396507777103,0.009846149310619445,0.030105998259331024,0.029762622715664655,0.030105998259331024,0.029762622715664655
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.009962160615121007,0.010021700795491473,0.04006815887445203,0.03978432351115613,0.04006815887445203,0.03978432351115613,1.0,0.009962160615121007,0.010021700795491473,0.04006815887445203,0.03978432351115613,0.04006815887445203,0.03978432351115613
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00983072786963568,0.010077057747765572,0.04989888674408771,0.0498613812589217,0.04989888674408771,0.0498613812589217,1.0,0.00983072786963568,0.010077057747765572,0.04989888674408771,0.0498613812589217,0.04989888674408771,0.0498613812589217
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.009974819912602406,0.010004812106680916,0.05987370665669012,0.059866193365602616,0.05987370665669012,0.059866193365602616,1.0,0.009974819912602406,0.010004812106680916,0.05987370665669012,0.059866193365602616,0.05987370665669012,0.059866193365602616
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01003099512121075,0.010002352929407543,0.06990470177790087,0.06986854629501016,0.06990470177790087,0.06986854629501016,1.0,0.01003099512121075,0.010002352929407543,0.06990470177790087,0.06986854629501016,0.06990470177790087,0.06986854629501016
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.010105535044997893,0.010028231106750773,0.08001023682289876,0.07989677740176093,0.08001023682289876,0.07989677740176093,1.0,0.010105535044997893,0.010028231106750773,0.08001023682289876,0.07989677740176093,0.08001023682289876,0.07989677740176093
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.010106871474173218,0.010097694903663967,0.09011710829707198,0.0899944723054249,0.09011710829707198,0.0899944723054249,1.0,0.010106871474173218,0.010097694903663967,0.09011710829707198,0.0899944723054249,0.09011710829707198,0.0899944723054249
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00995482134241854,0.01013309689065034,0.10007192963949052,0.10012756919607524,0.10007192963949052,0.10012756919607524,1.0,0.00995482134241854,0.01013309689065034,0.10007192963949052,0.10012756919607524,0.10007192963949052,0.10012756919607524
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.009996933988764667,0.009958689349732097,0.11006886362825519,0.11008625854580734,0.11006886362825519,0.11008625854580734,1.0,0.009996933988764667,0.009958689349732097,0.11006886362825519,0.11008625854580734,0.11006886362825519,0.11008625854580734
12,1.0,0.009822409657619602,0.3270596139241366,0.009822409657619602,0.3270596139241366,0.009822409657619602,0.3270596139241366,0.0,0.0,0.0,0.11006886362825519,0.11008625854580734,0.11006886362825519,0.11008625854580734,1.0,0.009822409657619602,0.3270596139241366,0.11989127328587479,0.43714587246994396,0.11989127328587479,0.43714587246994396
13,0.0,0.0,0.0,0.009822409657619602,0.3270596139241366,0.009822409657619602,0.3270596139241366,1.0,0.010011004229070863,0.009849411147541787,0.12007986785732605,0.11993566969334912,0.12007986785732605,0.11993566969334912,1.0,0.010011004229070863,0.009849411147541787,0.12990227751494565,0.44699528361748575,0.12990227751494565,0.44699528361748575
14,0.0,0.0,0.0,0.009822409657619602,0.3270596139241366,0.009822409657619602,0.3270596139241366,1.0,0.009986927867171147,0.009855192285686432,0.1300667957244972,0.12979086197903555,0.1300667957244972,0.12979086197903555,1.0,0.009986927867171147,0.009855192285686432,0.1398892053821168,0.4568504759031722,0.1398892053821168,0.4568504759031722
15,0.0,0.0,0.0,0.009822409657619602,0.3270596139241366,0.009822409657619602,0.3270596139241366,1.0,0.010108627525797331,0.010101622866046434,0.14017542325029453,0.139892484845082,0.14017542325029453,0.139892484845082,1.0,0.010108627525797331,0.010101622866046434,0.14999783290791413,0.4669520987692186,0.14999783290791413,0.4669520987692186
16,0.0,0.0,0.0,0.009822409657619602,0.3270596139241366,0.009822409657619602,0.3270596139241366,1.0,0.010083965286217023,0.01002570228082389,0.15025938853651155,0.14991818712590588,0.15025938853651155,0.14991818712590588,1.0,0.010083965286217023,0.01002570228082389,0.16008179819413115,0.4769778010500425,0.16008179819413115,0.4769778010500425
17,0.0,0.0,0.0,0.009822409657619602,0.3270596139241366,0.009822409657619602,0.3270596139241366,1.0,0.009989380053980312,0.01007889230799286,0.16024876859049186,0.15999707943389874,0.16024876859049186,0.15999707943389874,1.0,0.009989380053980312,0.01007889230799286,0.17007117824811147,0.48705669335803536,0.17007117824811147,0.48705669335803536
18,0.0,0.0,0.0,0.009822409657619602,0.3270596139241366,0.009822409657619602,0.3270596139241366,1.0,0.009869994775616675,0.010092560491363756,0.17011876336610854,0.1700896399252625,0.17011876336610854,0.1700896399252625,1.0,0.009869994775616675,0.010092560491363756,0.17994117302372814,0.4971492538493991,0.17994117302372814,0.4971492538493991
19,0.0,0.0,0.0,0.009822409657619602,0.3270596139241366,0.009822409657619602,0.3270596139241366,1.0,0.010151670968202353,0.009927009139567122,0.1802704343343109,0.18001664906482961,0.1802704343343109,0.18001664906482961,1.0,0.010151670968202353,0.009927009139567122,0.1900928439919305,0.5070762629889662,0.1900928439919305,0.5070762629889662
20,0.0,0.0,0.0,0.009822409657619602,0.3270596139241366,0.009822409657619602,0.3270596139241366,1.0,0.009951838221020637,0.009980387927752687,0.19022227255533153,0.1899970369925823,0.19022227255533153,0.1899970369925823,1.0,0.009951838221020637,0.009980387927752687,0.20004468221295113,0.5170566509167189,0.20004468221295113,0.5170566509167189
21,0.0,0.0,0.0,0.009822409657619602,0.3270596139241366,0.009822409657619602,0.3270596139241366,1.0,0.01003952002933417,0.010066317315729822,0.2002617925846657,0.20006335430831212,0.2002617925846657,0.20006335430831212,1.0,0.01003952002933417,0.010066317315729822,0.2100842022422853,0.5271229682324488,0.2100842022422853,0.5271229682324488
22,0.0,0.0,0.0,0.009822409657619602,0.3270596139241366,0.009822409657619602,0.3270596139241366,1.0,0.010013977041207767,0.0100929566654,0.21027576962587347,0.21015631097371212,0.21027576962587347,0.21015631097371212,1.0,0.010013977041207767,0.0100929566654,0.22009817928349307,0.5372159248978488,0.22009817928349307,0.5372159248978488
23,0.0,0.0,0.0,0.009822409657619602,0.3270596139241366,0.009822409657619602,0.3270596139241366,1.0,0.010097289264411557,0.010201306554396883,0.22037305889028502,0.220357617528109,0.22037305889028502,0.220357617528109,1.0,0.010097289264411557,0.010201306554396883,0.23019546854790462,0.5474172314522456,0.23019546854790462,0.5474172314522456
24,0.0,0.0,0.0,0.009822409657619602,0.3270596139241366,0.009822409657619602,0.3270596139241366,1.0,0.00985473901518219,0.009983462721420366,0.2302277979054672,0.23034108024952937,0.2302277979054672,0.23034108024952937,1.0,0.00985473901518219,0.009983462721420366,0.24005020756308681,0.557400694173666,0.24005020756308681,0.557400694173666
25,0.0,0.0,0.0,0.009822409657619602,0.3270596139241366,0.009822409657619602,0.3270596139241366,1.0,0.009978768235498592,0.00995634011638602,0.2402065661409658,0.2402974203659154,0.2402065661409658,0.2402974203659154,1.0,0.009978768235498592,0.00995634011638602,0.2500289757985854,0.567357034290052,0.2500289757985854,0.567357034290052
26,0.0,0.0,0.0,0.009822409657619602,0.3270596139241366,0.009822409657619602,0.3270596139241366,1.0,0.01005516045802679,0.01011830591121754,0.2502617265989926,0.25041572627713293,0.2502617265989926,0.25041572627713293,1.0,0.01005516045802679,0.01011830591121754,0.2600841362566122,0.5774753402012696,0.2600841362566122,0.5774753402012696
27,0.0,0.0,0.0,0.009822409657619602,0.3270596139241366,0.009822409657619602,0.3270596139241366,1.0,0.009901728264523513,0.01005219030901161,0.2601634548635161,0.26046791658614454,0.2601634548635161,0.26046791658614454,1.0,0.009901728264523513,0.01005219030901161,0.2699858645211357,0.5875275305102812,0.2699858645211357,0.5875275305102812
28,0.0,0.0,0.0,0.009822409657619602,0.3270596139241366,0.009822409657619602,0.3270596139241366,1.0,0.009960063717016965,0.010086893436096478,0.2701235185805331,0.270554810022241,0.2701235185805331,0.270554810022241,1.0,0.009960063717016965,0.010086893436096478,0.2799459282381527,0.5976144239463776,0.2799459282381527,0.5976144239463776
29,1.0,0.009981860237616047,0.14958428847883187,0.01980426989523565,0.4766439024029685,0.01980426989523565,0.4766439024029685,0.0,0.0,0.0,0.2701235185805331,0.270554810022241,0.2701235185805331,0.270554810022241,1.0,0.009981860237616047,0.14958428847883187,0.2899277884757687,0.7471987124252095,0.2899277884757687,0.7471987124252095
30,0.0,0.0,0.0,0.01980426989523565,0.4766439024029685,0.01980426989523565,0.4766439024029685,1.0,0.010063180911778602,0.009962308609849924,0.2801866994923117,0.28051711863209094,0.2801866994923117,0.28051711863209094,1.0,0.010063180911778602,0.009962308609849924,0.2999909693875473,0.7571610210350594,0.2999909693875473,0.7571610210350594
31,1.0,0.010032112604225318,0.1147800316971539,0.029836382499460967,0.5914239341001224,0.029836382499460967,0.5914239341001224,0.0,0.0,0.0,0.2801866994923117,0.28051711863209094,0.2801866994923117,0.28051711863209094,1.0,0.010032112604225318,0.1147800316971539,0.31002308199177264,0.8719410527322133,0.31002308199177264,0.8719410527322133
32,0.0,0.0,0.0,0.029836382499460967,0.5914239341001224,0.029836382499460967,0.5914239341001224,1.0,0.009995885796179493,0.009969264566161318,0.29018258528849117,0.29048638319825226,0.29018258528849117,0.29048638319825226,1.0,0.009995885796179493,0.009969264566161318,0.32001896778795214,0.8819103172983747,0.32001896778795214,0.8819103172983747
33,0.0,0.0,0.0,0.029836382499460967,0.5914239341001224,0.029836382499460967,0.5914239341001224,1.0,0.009885482904103071,0.009894341215100244,0.30006806819259424,0.3003807244133525,0.30006806819259424,0.3003807244133525,1.0,0.009885482904103071,0.009894341215100244,0.3299044506920552,0.8918046585134749,0.3299044506920552,0.8918046585134749
