,jump_status,jump_individual_e,jump_individual_n,jump_cumulative_e,jump_cumulative_n,jump_absolute_cumulative_e,jump_absolute_cumulative_n,drift_status,drift_individual_e,drift_individual_n,drift_cumulative_e,drift_cumulative_n,drift_absolute_cumulative_e,drift_absolute_cumulative_n,error_status,error_individual_e,error_individual_n,error_cumulative_e,error_cumulative_n,error_absolute_cumulative_e,error_absolute_cumulative_n
0,1.4869477530364e-311,0.0,0.0,0.0,0.0,0.0,0.0,1.4869477530364e-311,0.0,0.0,0.0,0.0,0.0,0.0,1.4869477530364e-311,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.009882637483571433,0.00996035598480427,0.009882637483571433,0.00996035598480427,0.009882637483571433,0.00996035598480427,1.0,0.009882637483571433,0.00996035598480427,0.009882637483571433,0.00996035598480427,0.009882637483571433,0.00996035598480427
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.010006301311865418,0.010117260591161248,0.01988893879543685,0.020077616575965518,0.01988893879543685,0.020077616575965518,1.0,0.010006301311865418,0.010117260591161248,0.01988893879543685,0.020077616575965518,0.01988893879543685,0.020077616575965518
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.009860761176075705,0.009950714301178998,0.029749699971512555,0.030028330877144516,0.029749699971512555,0.030028330877144516,1.0,0.009860761176075705,0.009950714301178998,0.029749699971512555,0.030028330877144516,0.029749699971512555,0.030028330877144516
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.009883035170452636,0.01018619665337539,0.03963273514196519,0.040214527530519906,0.03963273514196519,0.040214527530519906,1.0,0.009883035170452636,0.01018619665337539,0.03963273514196519,0.040214527530519906,0.03963273514196519,0.040214527530519906
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.010108964145074673,0.010077047520584692,0.049741699287039864,0.0502915750511046,0.049741699287039864,0.0502915750511046,1.0,0.010108964145074673,0.010077047520584692,0.049741699287039864,0.0502915750511046,0.049741699287039864,0.0502915750511046
6,1.0,0.09236304900167447,0.10750388539109057,0.09236304900167447,0.10750388539109057,0.09236304900167447,0.10750388539109057,0.0,0.0,0.0,0.049741699287039864,0.0502915750511046,0.049741699287039864,0.0502915750511046,1.0,0.09236304900167447,0.10750388539109057,0.14210474828871433,0.15779546044219517,0.14210474828871433,0.15779546044219517
7,0.0,0.0,0.0,0.09236304900167447,0.10750388539109057,0.09236304900167447,0.10750388539109057,1.0,0.010155745632278723,0.010000643681615795,0.05989744491931859,0.06029221873272039,0.05989744491931859,0.06029221873272039,1.0,0.010155745632278723,0.010000643681615795,0.15226049392099306,0.16779610412381096,0.15226049392099306,0.16779610412381096
8,0.0,0.0,0.0,0.09236304900167447,0.10750388539109057,0.09236304900167447,0.10750388539109057,1.0,0.010057962365344508,0.010062642184674342,0.0699554072846631,0.07035486091739473,0.0699554072846631,0.07035486091739473,1.0,0.010057962365344508,0.010062642184674342,0.16231845628633756,0.1778587463084853,0.16231845628633756,0.1778587463084853
9,0.0,0.0,0.0,0.09236304900167447,0.10750388539109057,0.09236304900167447,0.10750388539109057,1.0,0.009977027802051452,0.010039831711746494,0.07993243508671455,0.08039469262914123,0.07993243508671455,0.08039469262914123,1.0,0.009977027802051452,0.010039831711746494,0.17229548408838902,0.1878985780202318,0.17229548408838902,0.1878985780202318
10,0.0,0.0,0.0,0.09236304900167447,0.10750388539109057,0.09236304900167447,0.10750388539109057,1.0,0.010182316380982215,0.009913825095141604,0.09011475146769676,0.09030851772428283,0.09011475146769676,0.09030851772428283,1.0,0.010182316380982215,0.009913825095141604,0.18247780046937123,0.1978124031153734,0.18247780046937123,0.1978124031153734
11,0.0,0.0,0.0,0.09236304900167447,0.10750388539109057,0.09236304900167447,0.10750388539109057,1.0,0.010016140857105782,0.01003005078031105,0.10013089232480255,0.10033856850459388,0.10013089232480255,0.10033856850459388,1.0,0.010016140857105782,0.01003005078031105,0.192493941326477,0.20784245389568445,0.192493941326477,0.20784245389568445
12,0.0,0.0,0.0,0.09236304900167447,0.10750388539109057,0.09236304900167447,0.10750388539109057,1.0,0.00995380333324647,0.009841995897683198,0.11008469565804901,0.11018056440227708,0.11008469565804901,0.11018056440227708,1.0,0.00995380333324647,0.009841995897683198,0.20244774465972348,0.21768444979336765,0.20244774465972348,0.21768444979336765
13,0.0,0.0,0.0,0.09236304900167447,0.10750388539109057,0.09236304900167447,0.10750388539109057,1.0,0.009959398611540493,0.010097050319093803,0.12004409426958951,0.12027761472137088,0.12004409426958951,0.12027761472137088,1.0,0.009959398611540493,0.010097050319093803,0.21240714327126398,0.22778150011246145,0.21240714327126398,0.22778150011246145
14,0.0,0.0,0.0,0.09236304900167447,0.10750388539109057,0.09236304900167447,0.10750388539109057,1.0,0.01004881461714291,0.009843744563250656,0.13009290888673242,0.13012135928462154,0.13009290888673242,0.13012135928462154,1.0,0.01004881461714291,0.009843744563250656,0.22245595788840689,0.2376252446757121,0.22245595788840689,0.2376252446757121
15,0.0,0.0,0.0,0.09236304900167447,0.10750388539109057,0.09236304900167447,0.10750388539109057,1.0,0.009870523114283714,0.009892241272618119,0.13996343200101613,0.14001360055723966,0.13996343200101613,0.14001360055723966,1.0,0.009870523114283714,0.009892241272618119,0.2323264810026906,0.24751748594833023,0.2323264810026906,0.24751748594833023
